"","012618.SM1","012618.SM100","012618.SM101","012618.SM102","012618.SM104","012618.SM105","012618.SM106","012618.SM107","012618.SM110","012618.SM24","012618.SM33","012618.SM92","012618.SM97","012618.SM99","060619.SM66","060619.SM89","060619.SM92","060619.SM95","090918.SM113","090918.SM12","090918.SM44","090918.SM59","3.1","4.8.08","6.14","PT.11","PT.12","PT.16","PT.23","PT.28","PT.36","PT.40","PT.52","PT.55","PT.56","PT.57","PT.58","PT.6","PT.68","PT.7","PT.8","PT.9"
"d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.23,9.24,0,0,0,0,0,0,0,0,0,0,0,0,0,17.18,0,0,6.42,0,0,0.16,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea",14.07,41,0,0,0,0,4.78,0,0,14,11.05,10.85,0,598.13,0,186.41,4.11,0,0,0,0,0,2851.56,10.68,0,195.18,9.86,0,0,0,0,9.83,63.78,6.82,21.15,68,0.9,2.99,89.08,0,46.99,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella",0,0,0,0,0,0,0,1874,0,0,0,0,0,0,0,0,0,0,0,0,0,218.22,0,0,0,0,0,0,0,0,0,0,0,38.55,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania",31.82,0,26.89,0,14,0,0,0,0,9,19.78,18.62,0,0,0,5.77,10.92,11.97,22.51,10.65,7.65,0,0,13.9,0,70.65,8.98,0,3.49,5.38,9.18,0,3.58,0,0,10.53,3.9,11.63,10.24,15.73,13.47,12.16
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Merdibacter",0,0,0,0,5,0,0,0,0,0,0,13.73,0,9.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08,0,0,0,0,0,1.6,0,17.07,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium",0,0,0,2.3,3,0,0,0,0,0,0,18.41,1.75,0,5.5,1.16,0,0,0,0,0,0,0,3.52,0,0,0,0,2.39,2.7,0,8.3,0,1.14,2.89,0,1.03,1.29,0,0,1.09,2.15
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter",0,0,52.7,142.57,44,0,37.65,1135,0,0,11.76,2.92,8.79,0,315.53,3.28,11.78,53.66,10,36.67,69.84,0,0,5.85,5.75,2.79,64.5,1.86,210.4,1423.25,307.75,168,1243.65,996.08,268.48,1109.34,72.74,0,151.15,8.37,150.19,5.49
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmatales;g__Izemoplasmatales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.97,0,0,0,0,55.87,0,0,0,0,0,0,0,0,0,2.53,0,0,4.42,0,0,0.73,1.05,0,13.28,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,12.61,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;__",0,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella",0,43,0,1562.34,0,0,0,13,0,0,0,12.45,0,0,10.54,0,0,0,0,0,0,0,0,14.67,0,2.89,0,0,0,0,0,5.43,10.29,2.45,2.23,0,0,0,2.96,0,7.21,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus",0,0,24.15,55.58,0,0,0,51,0,0,0,0,0,9.84,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus",0,0,15.36,5.1,7,0,74.17,8,0,0,0,0,13.43,35.27,1,0,8.03,0,0,0,0,0,0,2.22,15.23,0,0,1.76,0,166.61,0,166.29,6.06,0,7.41,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,109.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08,0,0,0,0,0,0,0,6.53,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus",0,0,0,0,0,0,0,0,0,13,0,0,0,0,2.95,0,0,0,0,0,0,0,23.58,0,0,0,18.18,0,0,0,0,384.67,8.28,3.92,8.7,0,1.96,4.44,0,0,1.38,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus",36.55,5093,221.39,3213.51,542,3.24,88.97,742,930.54,47,5.26,1301.83,399.52,5.3,421.97,9.34,152.88,242.29,132.54,122.09,82.13,192.84,23.68,446.44,41.93,127.32,61.98,115.74,238.23,55.18,10.69,102.6,242.37,119.37,6523.45,14.74,377.24,28.42,229.65,52.88,58.35,50.25
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Ureaplasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39",0,0,0,0,0,0,0,0,0,0,14.34,0,0,0,0,822.01,0,0,0,0,0,0,0,0,0,0,0,0,0,214.9,2957.65,0,1.71,1694.7,0,0,125.67,851.85,133.48,13,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella",1.33,19,4.34,33.63,0,0,13.21,56,0,5,0,13.78,3.59,0,4.08,0,0,0,0,13.87,0,0,0,22.06,1.92,2.52,0,0,0,2.56,0,8.59,5.91,1.47,5.93,0,0,4.03,0,0,10.41,3.17
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus",0,0,0,69.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,7.66,8.24,0,2.18,0,0,2.17,0,0,3.74,0,1.49,0,0,0,0.53,1.87,0
"d__Bacteria;p__Firmicutes;c__Clostridia;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.16,0,0,0,0,0,0,0.92,0,0,2.32,1.42,0,5.9,0,3.99,0,0,0.99,2.01,0,2.1,10.64,3.19,3.09,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Caldicoprobacterales;f__Caldicoprobacteraceae;g__Caldicoprobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,0,0,6.41,0,0,1.34,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,9.47,9.01,3.14,1.77,0,1.49,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group",9.3,0,0,0,541,0,0,219,0,0,9.89,15.68,0,6.89,0,1021.01,6.62,27.6,4.54,98.29,791.23,20.85,0,235.43,0,0,32.83,55.54,154.02,456.24,1895.85,30.88,23.31,491.08,218.55,1428.63,1007,1181.37,91.88,131.35,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__uncultured",0,3,0,0,4,0,0,0,0,0,11.86,0,0,0,0,8.65,0,6.84,0,0,12.37,0,0,0,0,0,0,1.82,0,0,7.99,0,0,4.28,6.28,70.45,7.66,15.39,0,83.11,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Fastidiosipila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Ruminiclostridium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.52,48.79,0,3.33,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014",0,0,0,0,0,0,0,0,0,0,5.42,0,0,0,0.97,4118.85,1.98,0,155.34,0,363.02,0,0,0,0,0,0,0,0,5.88,4704.66,16.95,30.09,1091.94,0,32.71,58.34,247.13,19.39,37.02,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group",0,0,0,0,0,0,0,0,0,0,32.38,0,0,0,0,2160.97,0,12.67,0,0,16.29,0,0,0,0,0,0,0,3.68,0,16.12,0,0,0,1.9,6.76,32.41,145.89,2.29,44.74,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;__",0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1",15.15,16,26.66,3384.16,193,5.69,39.09,211,0,0,0,38,356.82,6.74,313,277.2,358.56,31.98,34.83,0,120.56,7.83,0,78.79,586.73,10,7.68,107.75,449.49,776.09,472.23,247.1,464.35,3985.61,1479.97,364.13,3547.43,61.37,164.69,72.17,109.47,10.84
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_2",0,0,0,0,0,0,0,0,0,0,0,24.8,318.69,0,9.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.04,0,0,0,0,0,0,0,9.43,0,0,0,0,0,0,0,0,0,27.41,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae;g__Anaerofustis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0.79,0,0,1.43,0,1.49,1.59,1.99,5.07,2.07,0,0,16.52,0.72,0,2.06,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,64.94,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitaleaceae_UCG-011",2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,0,0,0,0,0,0,0,0,0,7.72,0,0,4.39,0,0,6.45,0,0,5.14,10.1,0,2.32,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__",193.04,109,299.99,0,757,0,480.93,4,90.65,1274,204.62,60.22,741.63,180.58,156.93,61.79,713.08,1177.65,585.01,135.65,408.37,253.58,193.33,400.04,2676.49,245.98,126.13,584.47,75.27,77.56,166.88,46.27,97.43,18.52,104.4,60.24,25.22,95.69,452.07,384.95,2141.99,172.15
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group",553.68,0,0,0,123,0,0,224,0,114,11.48,0,272.87,0,4.12,19.54,21.7,543.72,0,728.36,65.06,1049.13,327.06,2.14,0,675.31,0,0,0,3.22,1.71,0,0,4.62,0,0,48.91,66.19,0,236.66,11.73,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_fissicatena_group",0,0,0,0,0,0,0,0,31.87,0,0,0,0,2.44,0,0,0,0,0,0,0,0,6.01,0,0,2.64,0,0,0,0,0,0,0,17.36,0,29.64,7.42,1.39,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group",107.59,0,459.88,0,123,0,18.17,144,3.77,9,34.68,106.99,0,47.66,0,30.32,68.42,23.39,152.13,40.46,84.48,183.41,0,910,348.93,234.19,555.81,318.01,1486.62,423.03,608.44,2913.23,640.17,367.02,1051.48,441.57,843.08,60.06,11.16,49.69,0,111.98
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_oxidoreducens_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.75,0,2.06
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ruminantium_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,14.21,0,0,152.7,0,40.33,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group",8.12,0,0,0,21,0,0,9,0,0,35.7,0,0,0,0,16.69,76.64,46.59,222.28,71.76,30.1,106.26,0,44.93,0,269.38,19.84,100.67,15.25,3.76,38.31,0,18.85,10.76,15.43,0,4.2,26.33,5.77,2.06,368.91,182.2
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_xylanophilum_group",0,0,0,0,32,0,0,0,0,0,9.08,0,16.95,0,0,0,0,338.21,0,0,49.86,126.8,0,0,0,155.72,0,0,0,2.47,0,0,11.41,4.39,0,6.19,1.29,50.96,7.54,10.26,3.34,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gauvreauii_group",0,0,0,0,19,0,0,56,0,0,6.07,34.82,0,0,0,0,15.39,0,0,186.58,21.01,109.66,79.39,372.9,0,0,0,212.89,411.75,88.4,41.7,107.78,1209.32,32.08,568.91,504.22,216.35,39.91,10.81,42.74,506.3,125.33
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group",45.83,1450,746.08,0,0,40.62,1026.45,35,305.55,39,42.19,2491.91,62.37,958.91,112.41,16.71,3.94,0,43.93,64.26,0,0,78.95,45.17,55.59,174.32,13.37,3.47,0,4.5,0,17.8,100.92,89.62,254.06,0,1.37,0,0,0.91,150.12,9.26
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group",183.57,0,53.79,0,59,0,319.62,17,457.99,0,154.58,75.83,47.29,248.77,178.78,44.88,211.07,19.16,354.33,21.31,119.59,176.36,241.93,37.83,2011.25,148.76,67.32,202.89,647.51,62.74,556.09,586.47,1182.3,53.62,521.57,304.82,291.71,195.76,193.27,146.39,394.5,99.89
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter",2934.1,0,2267.17,16.74,1180,0,118.3,2359,0,2547,198.37,0,0,6.95,0,0,5019.93,620.39,71.14,3501.01,396.19,2956.1,1499.25,2646.26,0,3877.61,2163.19,2941.63,215.96,658.59,583.57,469.3,1458.4,390.51,2141.05,52.49,712.62,442.18,1033.38,712.24,6031.79,4254.94
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosporobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostignum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes",20.7,0,550.73,0,85,0,175.52,340,54.25,75,56.51,41.42,83.83,50.19,122.3,23.61,112.2,105.53,69.88,133.71,50.07,552,133.77,316.25,618.11,30.49,324.01,75.41,388.83,384.29,737.4,623.02,353.59,233.64,1099.44,362.71,556.39,35.56,205.04,97.66,388.3,223.51
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia",621.81,2529,2455.82,0,318,22.17,398.79,1911,400.64,199,156.28,83.38,176.8,297.84,3511.1,165.53,212.92,331.17,642.56,593.96,315.61,775.46,858.26,5175.06,3652.92,1362.46,1454.85,2854.98,3957.27,2140.76,1305.99,5245,5013.18,806.07,3776.33,3178.59,1869.49,324.39,8075.51,491.51,1596.08,822.19
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3443.11,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56",0,0,0,0,65,0,0,24,0,0,0,52.43,0,0,0,0,0,28.58,0,0,7.59,39.46,0,0,0,0,0,91.54,0,26.87,0,163.17,9.23,0,179.88,0,2.23,0,0,8.07,0,102.82
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catenibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.24,10.15,0,5.62,0,11.4,0,2.39,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Cellulosilyticum",0,0,0,0,0,0,0,0,0,0,0,0,23.08,0,0,85.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CHKCI001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus",13.86,0,0,0,109,0,292.01,202,0,0,24.43,103.42,13.23,0,0,131.85,53.32,111.29,20.39,83.35,11.68,145.32,0,17.88,0,0,0,114.98,151.1,139.84,233.64,200.08,732.48,495.03,65.92,0,116.17,69.4,203,65.99,214.56,67.11
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea",26.8,0,170.84,0,0,10.5,466.05,190,324.42,226,51.19,317.13,0,0,76.57,12.33,55.52,62.89,208.42,77.34,87.91,198.03,9.95,129.56,0,0,0,313.05,1221.22,682.03,158.88,1384.64,2432.43,310.5,1858.56,320.16,139.79,72.8,178.21,61.42,416.1,119.29
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella",8.49,0,0,0,0,0,0,0,0,0,4.4,177.99,0,0,11.96,0,0,0,0,0,3.86,0,0,7.05,0,97.6,11.24,0,0,0,0,0,0,8.65,0,0,31.72,50.33,3.73,17.53,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Epulopiscium",0,0,0,1128.32,0,0,0,0,0,0,0,0,125.73,0,0,117.11,0,0,0,0,0,0,0,0,0.86,0.6,0,0,0,0,0,0,5.6,3.39,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Frisingicoccus",0,0,0,0,0,0,0,0,0,0,0,0,256.39,0,4.86,0,0,0,0,0,15.78,0,0,0,0,0,11.06,6.08,0,0,0,2.26,0,0,17.08,50.12,1.13,0,3.56,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter",188.42,0,478.09,0,67,0,30.49,75,279.88,119,79.25,7.83,0,0,7.97,36.37,132.37,195.02,195.06,0,238.3,330.19,0,198.47,3054.41,491.1,239.79,418.42,118.65,216.19,164.13,669.03,566.18,15.01,900.21,0,21.26,100.85,458.19,444.21,1278.41,316.32
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575",0,0,0,0,0,0,0,0,0,0,8.95,0,0,0,0,0,2.03,57.16,8.94,0,13.06,0,114.16,8.06,0,1.38,0,3.28,0,3.76,0,0,0,0,0,0,1.29,17.92,4.61,5.37,0,7.38
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066755",0,0,0,0,0,0,0,0,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Herbinix",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Howardella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella",37.91,91,57.46,0,0,113.15,0,0,8,0,0,263.52,345.6,0,28.97,0,0,0,0,0,0,0,269.65,0,5.37,15.84,9.14,0,0,0,17.56,0,0,44.94,0,0,4.88,5.53,15.35,189.42,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium",170.17,213,653.5,0,0,251.58,116.44,31,60.56,101,69.47,2151.61,1050.26,1943.03,136.68,17.33,68.82,133.44,139.46,138.1,26.75,52.38,986.91,189.68,65.29,192.58,109.8,68.99,39.68,11.17,82.38,5.99,0,40.5,2.77,349.12,49.54,178.59,469.81,64.47,628.1,28.81
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira",271.82,0,0,0,125,0,16.42,79,0,53,2245.56,0,0,4.54,93.23,118.54,189.88,205.34,413.83,0,37.33,546,0,18.9,20.53,879.56,62.29,58.24,0,0,2.9,1.43,2.23,0,0,0,19.84,43.42,0,167.65,410.6,216.61
