"","012618.SM1","012618.SM100","012618.SM101","012618.SM102","012618.SM104","012618.SM105","012618.SM106","012618.SM107","012618.SM110","012618.SM24","012618.SM33","012618.SM92","012618.SM97","012618.SM99","060619.SM66","060619.SM89","060619.SM92","060619.SM95","090918.SM113","090918.SM12","090918.SM44","090918.SM59","3.1","4.8.08","6.14","PT.11","PT.12","PT.16","PT.23","PT.28","PT.36","PT.40","PT.52","PT.55","PT.56","PT.57","PT.58","PT.6","PT.68","PT.7","PT.8","PT.9"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium",5.5,15.89,21.43,0,0,8.53,3.92,1.26,1.63,4.44,2.61,72.14,34.53,64.95,4.31,0.61,2.59,4.74,4.7,4.72,0.78,1.69,32.54,6.73,2.45,6.7,3.69,2.29,1.31,0.44,2.81,0.28,0,1.39,0.01,11.35,1.7,6.06,15.54,1.84,20.49,1.03
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira",9.01,0,0,0,6.65,0,0.56,2.64,0,2.38,74.79,0,0,0.16,2.96,4.07,6.03,6.82,13.41,0,1.3,18.41,0,0.77,0.53,28.89,2.16,2.08,0,0,0.06,0.05,0.03,0,0,0,0.61,1.42,0,5.31,13.65,6.61
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group",0.22,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0.21,0.01,0,0.55,0,0,1.32,0,0,0,0,0,0,1.05,0.59,0.59,1.46,2.45,0.79,1.07,0.77,1,0,0,0.23,0.53,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NC2004_group",0.02,0,0,0,0.13,0,0,0,0.08,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.07,0.04,0.18,0.17,0.05,0,0.06,0,0,0,0.02,0,0.04,0,0.02,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group",0,0,0,0,2.03,0,0,0,0,0,1.64,0,0,0,0.94,0.96,1.25,1.15,1.6,2.23,0.45,3.85,0,0,0,0,0,1.86,0,0.08,0.69,0.08,0.11,0,0.11,0,0.1,0,0,2.7,6.02,1.77
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group",1.82,73.22,0,0,13.35,0,0.21,0,0,0,5.49,0,0,0,0,6.71,1.82,9.01,12.87,0.38,0.85,5.27,4.47,1.78,1.08,0,0,7.1,0.44,0.48,3.39,0.12,0.69,0,0.74,0.19,1.62,4.26,1.88,4.11,3.1,10.29
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4B4_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.1,0,0,0.07,0.5,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001",0.73,0,0,0,2.89,0,0,0,0,0.82,2.94,0,0,0,0,0.44,0,2.27,0.52,0,0.3,8.37,0,0,0,5.5,0,0.59,0,0,0.03,0,0.16,0.16,0,0.05,0,2.51,0.54,0.31,1.59,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0.07,0,0.46,0.04,0,0,0.06,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004",3.86,0,0,0,1.61,0,6.74,1.15,3.88,6.87,4.95,0,2.42,0,7.25,0.8,1.65,6.44,1.81,14.79,1.01,1.55,1.46,0.38,17.89,7.16,0,1.32,0,0,0,0,0,0.03,0,0,0,0,0,0,1.3,0.92
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-008",0,0,0,0,0.09,0,0,0,0.1,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.3,0.17,0.11,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0.1
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010",0,0,0,0,0,0,8.57,0.45,0,4,0.49,13.4,0,0,2.87,0,0,3.78,2.35,0.68,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lactonifactor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0.3,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia",0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,1.12,0,0,0,0,0,1.16,2.05,1.69,1.06,3.21,0.74,0,0.76,0.28,0,0,0.74,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Moryella",0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,1.19,0,0,0,0,0,0.86,0,0,0,0,0,0.12,0.14,0,0,0,0,0,0.14,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Robinsoniella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia",11.89,0,1.42,0,2.84,0,23.84,1.22,0,15.94,80.21,0,197.36,0,8.78,14.24,13.93,4.54,6.77,10.57,7.63,60.15,0,0,189.81,27.1,2.84,18.07,1.31,0.29,4.91,0.58,4.21,3.05,0.86,0.37,1.3,0.41,5.21,0.91,8.27,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas",2.35,2.81,0.16,0,1.81,0,0,0,0,0.76,0,0,0,7.61,0,0,0,0,0.26,0,0,0,1.96,0.19,0,3.25,6.91,0.73,0.19,0,0,0,0,0,0,0,0.03,0,3.14,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Shuttleworthia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1.2,0,0,0,0.03,0,0,0,0,0.14,0.02,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella",0,2.69,23.69,0,0,0,0,0,0,1.22,0,0,0.17,0,0.25,0,0,0,2.06,0,0,0,0.77,0,0.66,0,0.4,0.75,0,0,2.84,0,0,0.08,0,0,5.28,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UC5-1-2E3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.13,0.23,0.02,0,0,0.12,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__uncultured",0.66,0,0,0,1.39,0,0.87,0,0,0,2.96,2.77,0,0.65,0.68,0,0.64,1.18,0,0,3.44,0,0,0.31,0.72,0.08,0,0.41,0.29,0.51,1.41,0.82,0,0.43,0.64,1.74,0.2,0.51,1.38,0.22,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus",0.81,0,0,0,2.29,0,0,2.67,0,0,0,0,0,0,0.58,0,1.24,5,2.32,0.13,4,5.26,0,21.88,0,11.44,1.32,1.46,4.29,0.68,4.47,7.49,17.45,3.49,1.27,2.27,0.99,0.45,13.07,0.85,4.5,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;__;__",0,0,0,0,0.46,0,0,0,0,0.25,0.45,0,0,0,0,1.39,0.19,0,0.2,0,0.51,0,0,0.02,0,0.01,0,0.14,0,0,0.2,0,0.07,0.33,0,0.09,0.68,2.31,0.1,2.24,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group",1.27,0,0,0,1.92,0,0,0.23,0,1.94,0.33,0,0,0,0,24.28,1.94,0,10.54,0,0.89,1.49,2.2,0.36,0,1.05,8.4,3.52,3.74,3.56,16.54,7.13,2.49,22.71,1.68,2.83,15.58,14.41,1.88,16.45,1.01,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus",1.45,0,2.86,0,4.91,0.16,20,2.73,1.71,0.6,0.29,3.72,0.72,0,0.36,0.66,0.82,5.18,3.97,0,1.61,5.74,0.17,0.3,6.18,8.7,16.81,3.88,3.54,0.87,12.02,8.39,7.26,0.72,0.86,0.83,0.08,0.8,5.49,2.3,12.17,1.14
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0.07,0,0,0.05,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.44,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0.06,0.43,0,0.08,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Acetanaerobacterium",0.05,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;__",0,0,0,0,0,0,0,0,0,0,0.04,0.13,0,0,0,2.17,0,0.14,0,0.06,0.76,0,0.44,0.11,0,0.06,0,0,0.07,0,3.01,0,0.26,0,0.1,0,0.04,0,0,0.06,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter",6.79,0,0,0,0.63,0.16,0,0,2.05,0,0.77,0.07,6.86,23.36,0,1.07,2.12,0.68,2.82,0.26,3.73,1.72,0,0.08,2.97,0.18,3.79,0.63,0.06,0.37,1.74,0,0,0.44,0,0,0.38,1.76,0,1,1.59,2.47
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor",7.32,3.86,27.24,0,0.66,2.72,2.31,2.12,10.87,0.9,1.11,7.28,20.53,16.05,2.62,0.16,0.77,0,1.32,1,0.34,0,13.08,0.84,4.3,3.49,2.49,1.12,0.11,0,0.07,0,0.1,0.24,0.27,0,0.42,1.84,1.63,1.33,0.69,1.09
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas",0,0,0,0,0.81,0,0,0,0.3,0,0.08,0,0,0,0,0.46,0.04,0,0,0,1.37,0,10.28,0.01,0,0.48,0.21,0,0,0,0.89,0,0,0.41,0.22,0.17,0.36,5.05,0.43,1.29,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group",0,0,0,0,0.66,0,0,1.55,0,1.06,1.09,0,0,0,0,7,1.62,1.21,0.72,0,4.15,0.39,0,0,0,0,0,0,9.92,0.53,1.42,0,0,7.97,6.79,0,12.62,4.98,0.19,3.22,0.05,0.71
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter",4.04,0,0,0,1.76,0,0.37,0.13,0.16,0,1.59,0,0.36,1.72,0,0.9,1.5,0.43,2.1,0.44,1.86,0,5.95,0.13,0,1.31,3.71,1.21,0,0,0,0,0,0.24,0.03,0,0.1,2.47,0.49,6.55,0.11,1.69
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillospira",0,0,0,0,0.34,0,0,0,0,0,0.2,0,0,0,0,2.06,0,0.25,0.69,0,0,0,41.14,0.17,0,0.37,0.09,0.08,0,0,0.69,0,0,0,0,0,0,2.18,0.12,6.91,0,0.33
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Papillibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0.05,0.07,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002",0,0,0,0,9.44,0,0,1,1.04,1.76,14.11,2.51,0,0,0,56.54,1.31,6.55,10.93,0,5.61,1.28,0,0.22,0,5.88,3.25,0,0.95,2.07,14.68,0.18,1.6,8.72,2.05,10.84,14.93,38.78,0,19.4,0.12,6.85
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003",0,0,0,0,0,0,0,0,3.86,4.77,3.95,0.65,0,0,0,5.91,1.51,3.79,3.08,0,2.71,1.87,0,0.74,0,1.39,0,0,0,0,0.83,0,0.07,0.19,0.22,0,1.06,1.87,0,0,0.08,5.75
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005",0.14,0,0,0,6.38,0,0,0,0,0,2.65,0,0,0.1,0,34.19,0.48,0.72,1.63,0,6.75,0,2.14,0.07,0,2.85,1.97,0.93,1.06,1.38,2.23,0.14,0.14,4.1,1.18,6.23,8.48,3.52,0,21.54,0.09,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__uncultured",0.33,0,0,0,1.03,0,0,0,0,0,0.86,3.58,0,0,0,1.08,1.43,2.62,3.16,2.23,0.43,0,0.22,2.09,0,0,4.46,1.37,8.07,8.45,8.56,1.69,12.49,13.71,8.41,11.74,5.75,3.89,4.36,3.74,1.23,0.66
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospirales;g__Hydrogenoanaerobacterium",0,0,0,0,0,0,0,0,0,0,0.09,0,0,0.06,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0.13,0.04,2.07,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__",0,0,0.39,0,1,0,0.1,0,0.1,0,0,0,0,0,0,0.37,0.07,0.08,0.39,0,0.16,0.53,0,0.23,0,0.33,0.23,0.15,9.34,0.11,0.83,0.12,0.4,0.39,0,0.51,0.53,0.21,1.64,1.62,0,0.04
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium]_siraeum_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.72,0,0,0,0,0.33,0,0,4.39,0,6.38,0,0.24,1.07,0,0.94,0.15,3.4,0.46,0.95,6.14,0.89,0.15,4.1,0.49,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerofilum",0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus",0,0.36,0,0,0,0,0,0,0,0,0.27,0.22,0,0.56,0,0.06,0.05,0,0,0,0.07,0,2.65,0,0,0.32,0,0,0,0,2.73,0,0,0.32,0,0.16,0.49,2.91,0,0.21,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella",0,0,0,0,0.65,0,0,0,0,0,0.17,0,0,0,0,0.37,0,0.02,0.16,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.32,0,0.25,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352",8.9,0,0,0,19.62,1.26,0,1.24,0,0,0,0,0,0,4.25,4.36,136.42,0,12.38,56.61,19.45,0,0,155.95,0,52.73,48.07,55.16,147.13,153.6,58.64,96.7,182.06,20.94,0,139.87,39.18,11.53,49.82,122.29,1.2,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Candidatus_Soleaferrea",0.06,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.07,0,0.09,0.09,0,0.07,0,0,0,0,0.15,0.11,0,0,0.25,0.08,0,0,0.12,0.26,0,0.06,0.12,0.14,0.1,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Caproiciproducens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__DTU089",0.96,0,0,0,0,0,0,0,0,0,0,0,1.06,0.26,0,0.79,0.4,0,0.51,0.41,0.31,0,0,0,0,0.22,0,0,0.12,0.13,0.14,0.03,0,0.48,0,0,0.54,0.38,0.68,0.28,0.09,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium",72.42,0,51.68,0.57,238.29,61.45,37.8,44.83,325.75,402.2,41.09,24.34,0,0,34.15,16.37,171.35,225.74,64.14,130.94,52.72,263.88,6.78,67.43,224.33,201.76,31.36,254.33,8.18,3.46,8.62,1.49,8.3,1.75,3.54,1.31,13.51,20.78,1.65,46.54,65.82,31.64
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fournierella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.18,0,0.15,0,0,0,0.09,0,0,0,0,0,1.66,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis",1.17,0.21,0.08,0,1.34,0.11,1.03,1.04,4.75,0.73,0.41,1.53,2.04,1.92,0.39,1.21,0.68,2.49,5.32,2.55,3.63,2.43,0.84,9.2,1.19,2,6.47,7.36,10.35,5.14,21.22,6.94,1.41,8.7,64.92,44.63,86.46,3.53,0.84,11.16,2.79,10.88
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus",0,0,0,0,0.9,0,0,0,0,0.64,0,0,0,0,0,1.25,1.63,0.28,1.7,0.33,0.71,0,0,0,0,0,0.24,0.09,0,0,0,0,0,0.12,0,0,0.08,2.13,0.09,1.32,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0.08,0,0,0.13,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Phocea",0.06,0,0,0,0,0,0,0,0,0,0.1,0,0,0.18,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus",7.88,0,0,0,12.49,0,0,0.84,0,0,0.04,0,0,0,0.65,1.58,6.21,0,15.83,1.61,12.13,10.11,3.65,0.26,0,104.6,24.77,22.45,1.8,10.61,3.43,0.54,0.9,0.89,5.95,0,2.13,2.23,7.67,9.66,0.1,1.25
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum",29.53,0,0,0,200.43,0,0.32,13.82,17.06,0.17,0,83.65,0,0,111,55.24,22.55,30.57,9.63,9.2,7.41,27.29,0,194.74,0,140.93,11.74,11.48,69.09,75.29,12.36,99.34,69.83,17.81,30.36,56.56,8.45,9.82,247.28,64.79,113.98,55.81
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1819",1.54,2.56,1.13,0,0,5.98,0,0.7,1.99,0,1.17,1.65,2.47,16.04,0,0.56,0.34,0,0.41,0.24,0.83,0,15.87,0.25,0,0,2.08,0.15,2.72,0.38,0.61,0.39,0,9.23,1.6,0.64,1.18,7.56,1.39,1.22,0.26,2.88
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__uncultured",1.31,0,0,0,0.52,0,0,0,0,0.23,1.59,0.61,0,0,0,9.06,0,1.08,1.26,3.41,0.8,0,0,0.04,0,1.81,0,0.31,0.25,0.12,0.75,0,0.24,0.87,0.44,0.82,2.08,2.58,0.57,1.3,0.48,0.64
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__UCG-010",0,0,0,0,0.16,0,0,0,0,0,0.11,0,0,0,0,10.6,0,0,0,0,1.05,0,0,0,0,0,0,0,0.07,0.05,2.93,0,0.02,2.05,0,0.1,2.19,2.72,0.03,4.81,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus",0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0.08,0,0,3,0,0,0,0,0,0,0,0,0.04,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__uncultured",0.22,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0.33,0,0,0,0,0.33,0,0,0,0,0,0,0,0.03,0,0.64,0,0.41,0,0,0,0.22,0.82,0,0.56,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;__",0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_brachy_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0.21,0,0,0.33,0,0,0.94,0,0.38,0.5,0.29,0.36,0.07,0.1,0.25,0.89,0.76,0,1.41,0.12,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_nodatum_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.11,0,3.71,0,0,0.05,0,0.06,0,0,0.11,0,0,0.02,0,0,0,0,0.12,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_AD3011_group",0,0,0,0,0,0,0,0,0.24,0,0.33,3.66,0,0,0,1.24,0,0.18,0,0,0.31,0,0,0.4,0,0,0.19,0,2.12,0.68,2.02,0.65,0.65,4.57,0.84,10.98,1.79,0.88,0.75,0.83,0.18,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_UCG-001",0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0.23,0.4,1.18,0,0,0.03,0,0,0,0,0,0,0.41,0,0,0.21,0,0,0.11,0,1.23,0.43,0.25,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Mogibacterium",0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0.14,0,0,0.03,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__S5-A14a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
