"","012618.SM1","012618.SM100","012618.SM101","012618.SM102","012618.SM104","012618.SM105","012618.SM106","012618.SM107","012618.SM110","012618.SM24","012618.SM33","012618.SM92","012618.SM97","012618.SM99","060619.SM66","060619.SM89","060619.SM92","060619.SM95","090918.SM113","090918.SM12","090918.SM44","090918.SM59","3.1","4.8.08","6.14","PT.11","PT.12","PT.16","PT.23","PT.28","PT.36","PT.40","PT.52","PT.55","PT.56","PT.57","PT.58","PT.6","PT.68","PT.7","PT.8","PT.9"
"d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.86,14.97,0,0,0,0,0,0,0,0,0,0,0,0,0,28.47,0,0,10.18,0,0,0.1,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group",0,0,0,0,39,0,0,0,0,0,86.09,0,0,0,61.03,42.39,72.89,61.9,77.33,107,24.94,136,0,0,0,0,0,92.56,0,4.06,28.77,3.61,4.38,0,4.73,0,2.77,0,0,119.54,305.56,86
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group",92.24,999,0,0,258,0,9.72,0,0,0,294.98,0,0,0,0,340.72,92.84,458.88,641.36,20,38.04,188,217.12,85.04,55.04,0,0,367.41,20.42,20.44,168.79,5.18,32.75,0,35.91,8.02,61.98,199.9,100.26,203.16,147.27,481
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4B4_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.15,0,0,5.89,0,0,2.09,20.77,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001",53.23,0,0,0,55,0,0,0,0,18,141.48,0,0,0,0,19.87,0,113.34,28.43,0,18.06,289,0,0,0,270.8,0,33.49,0,0,2.23,0,8.14,7.42,0,4.72,0,106.97,24.73,13.25,84.77,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.81,0,0,0,0,0,5.05,0,25.61,5.38,0,0,3.87,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004",185.42,0,0,0,28,0,333.24,28,205.81,153,234.29,0,83,0,364.13,44.73,90.61,328.6,82.67,737,49.03,63,73.59,18.4,906.82,377.77,0,59.55,0,0,0,0,0,0.91,0,0,0.53,0,0,0,68.2,37
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-008",0,0,0,0,3,0,0,0,3.75,0,31.81,0,0,0,0,0,0,0,0,0,0,0,0,7.37,0,0,19.01,9.05,5.57,0,1.58,0,0,0,0,0,1.49,0,0,0,0,4
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.82,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010",0,0,0,0,0,0,428.59,9,0,86,32.83,567,0,0,130.56,0,0,184.31,110.78,25,206.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lactonifactor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.65,0,0,0,0,0,0,0,0,0,0,0,0,12.06,0,0,15.81,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia",0,0,22.41,0,0,0,0,0,0,0,0,0,0,0,0,11.37,0,0,0,0,0,0,0,52.94,0,0,0,0,0,60.72,112.42,90.11,43.54,167.32,34.94,0,31.28,16.62,0,0,36.03,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Moryella",0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,53.13,0,0,0,0,0,43.64,0,0,0,0,0,7.4,6.34,0,0,0,0,0,4.85,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Robinsoniella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia",597.88,0,61.64,0,53,0,1162.02,35,0,367,4053.74,0,6626,0,454.45,720.09,718.02,219.95,334.6,510,425.65,2086,0,0,9432.21,1378.08,134.98,900.44,66.63,13.24,235.76,26.16,208.7,155.54,34.51,17.6,68.1,17.93,277.39,50.02,407.31,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas",115.43,37,10.71,0,34,0,0,0,0,17,0,0,0,358.61,0,0,0,0,18.68,0,0,0,96.8,8.46,0,158.55,353.48,36.04,10.82,0,0,0,0,0,0,0,3.32,0,157.34,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Shuttleworthia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,54.85,0,0,0,2.31,0,0,0,0,7.34,1.09,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella",0,33,1163.95,0,0,0,0,0,0,21,0,0,6,0,9.44,0,0,0,95.11,0,0,0,38,0,32.97,0,19.18,39.44,0,0,148.54,0,0,7.14,0,0,273.61,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UC5-1-2E3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,5.03,14.43,2.07,0,0,8.3,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__uncultured",29.13,0,0,0,21,0,48.07,0,0,0,153.85,113,0,38.73,34.86,0,26.18,70.03,0,0,176.13,0,0,13.54,30.81,6.99,0,16.51,13.86,20.51,67.09,38.08,0,22.05,29.06,87.77,12.66,25.53,62.36,12.55,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus",37.37,0,0,0,45,0,0,65,0,0,0,0,0,0,30.17,0,61.39,238.54,115.88,7,206.9,183,0,1066.11,0,561.84,63.55,85.16,197.23,41.05,213.26,391.87,857.21,166.79,66.77,108.17,56.77,22.89,650.02,47.49,227.44,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;__;__",0,0,0,0,11,0,0,0,0,6,19.14,0,0,0,0,72.06,9.74,0,11.58,0,25.49,0,0,1.73,0,1.55,0,10,0,0,8.72,0,3.58,20.48,0,4.87,35.96,106.32,4.05,105.24,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group",67.33,0,0,0,36,0,0,6,0,41,12.67,0,0,0,0,1180.58,95.24,0,538.94,0,44.74,55,101.68,16.05,0,55.32,419.72,183.28,171.89,191.68,825.8,360.46,119.38,1164.55,72.33,137.96,754.07,732.4,85.74,835.45,51,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus",68.07,0,140.33,0,92,6,1021.05,73,87.83,13,16.73,161,29,0,19.32,33.42,36.4,267.15,206.17,0,95.46,196,11.24,14.59,310.64,439.93,848.74,193.79,169.35,41.43,588.98,446.39,349.28,35.47,46.62,37.27,4.49,42.89,269.22,114,619.73,54
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.54,0,0,0,0,0,0,0,6.98,0,0,0,0,0,3.46,0,0,3.43,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58,0,0,24.27,0,0,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,2.51,18.71,0,4.68,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Acetanaerobacterium",3.43,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;__",0,0,0,0,0,0,0,0,0,0,3.98,4,0,0,0,108.39,0,8.58,0,3,38.91,0,23.73,3.53,0,4.33,0,0,2.63,0,144.79,0,13.86,1.22,5.34,0,2.82,0,0,3.25,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter",345.78,0,0,0,12,9,0,0,108.72,0,48.22,3,244,1169.53,0,52.57,106.05,40.18,154.63,16,187.87,62,0,6.81,150.67,11.42,217.49,27.55,2.58,19.74,76.53,0,0,17.38,0,0,22,95.93,0,48.15,77.21,114
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor",359.23,49,1376.81,0,12,104,117.04,48,531.16,20,51.35,296,666,787.56,137.96,12,35.96,0,72.56,50,18.72,0,686.97,40.88,204.91,162.41,125.41,61.67,5.89,0,3.57,0,6.18,12.88,11.25,0,20.12,84.7,76.76,63.93,32.68,51
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas",0,0,0,0,16,0,0,0,13.2,0,3.53,0,0,0,0,24.01,2.11,0,0,0,71.84,0,534.52,1.5,0,23.89,10.36,0,0,0,45.54,0,0,24.04,7.73,12.34,15.39,250.71,22.1,73.21,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group",0,0,0,0,12,0,0,34,0,22,56.75,0,0,0,0,353.48,79.84,53.78,32.85,0,218.18,13,0,0,0,0,0,0,499.01,27.62,61.97,0,0,384.68,333.58,0,611.44,247.6,9.2,169.31,2.13,32
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter",191.76,0,0,0,34,0,16.69,4,7.5,0,81.19,0,12,94.85,0,41.35,70.76,24.94,100.45,19,97.56,0,294.12,7.61,0,57.04,177.76,58.11,0,0,0,0,0,9.39,1.41,0,3.97,125.04,19.74,334.23,5.94,71
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillospira",0,0,0,0,8,0,0,0,0,0,9.04,0,0,0,0,107.69,0,15.38,39.3,0,0,0,2059.35,8.44,0,17.25,6.95,4.67,0,0,32.82,0,0,0,0,0,0,99.37,4.13,340.81,0,13
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Papillibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,3.89,2.37,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002",0,0,0,0,173,0,0,29,46.18,38,692.31,106,0,0,0,2833.09,59.28,317.28,528.33,0,287.88,50,0,14.11,0,299.04,168.54,0,55.02,90.85,783,8.6,78.95,462.24,96.2,553.73,755.78,1969.93,0,938.83,9.89,309
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003",0,0,0,0,0,0,0,0,199.86,102,196.06,26,0,0,0,298.54,76.19,178.73,141.06,0,132.83,60,0,34.8,0,72.8,0,0,0,0,33.56,0,2.45,11.43,7.59,0,47.01,106.49,0,0,4.74,248
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005",5.66,0,0,0,122,0,0,0,0,0,127.76,0,0,2.81,0,1779.08,24.04,40.13,82.35,0,350.5,0,98.75,2.61,0,137.73,105.09,41.92,56.28,70.47,134.47,7.98,7.46,211.92,59.84,314.32,434.4,158.37,0,1045.97,5.46,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__uncultured",21.22,0,0,0,18,0,0,0,0,0,41.63,143,0,0,0,58.46,89.09,126.36,168.88,100,27.07,0,9.07,118.49,0,0,207.23,73.34,424.36,439.53,423.18,96.2,623.47,672.03,430.55,563.13,291.01,185.66,226.09,172.01,63.54,32
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospirales;g__Hydrogenoanaerobacterium",0,0,0,0,0,0,0,0,0,0,4.71,0,0,4.8,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.91,0,0,0,0,3.94,1.67,92.87,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__",0,0,19.01,0,18,0,3.97,0,2.81,0,0,0,0,0,0,22.38,2.78,4.4,20.3,0,10.72,16,0,12.52,0,13.15,9.29,5.34,476.94,6.89,43.91,4.69,19.83,20.45,0,24.28,32.33,15.05,84.11,81.57,0,3
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium]_siraeum_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.76,0,0,0,0,23.1,0,0,212.78,0,305.47,0,9.64,41.65,0,36.68,10.27,167.01,23.95,46.93,315.26,58.93,7.45,219.9,19.38,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerofilum",0,0,0,0,0,0,0,0,0,0,7.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.34,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus",0,6,0,0,0,0,0,0,0,0,16.55,12,0,32.87,0,2.19,2.75,0,0,0,5.04,0,127.86,0,0,14.74,0,0,0,0,130.18,0,0,12.77,0,7.28,33.26,134.18,0,10.69,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella",0,0,0,0,11,0,0,0,0,0,10.9,0,0,0,0,20.14,0,3.71,6.42,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.36,18.2,0,11.14,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352",446.76,0,0,0,373,47,0,33,0,0,0,0,0,0,208.03,222.97,6770.6,0,625.89,2744,937.41,0,0,7808.32,0,2591.5,2456.58,2871.77,7363.72,7789.13,2878.89,4820.78,9069.58,1066.7,0,6927.56,1922.89,579.83,2483.59,6061.63,59.53,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Candidatus_Soleaferrea",4.3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3.15,0,7.23,4.66,0,2.63,0,0,0,0,6.51,5.96,0,0,8.8,4.24,0,0,4.53,11.87,0,5.79,6.46,6.13,4.16,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Caproiciproducens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__DTU089",43.24,0,0,0,0,0,0,0,0,0,0,0,36,16.36,0,34.43,19.96,0,26.22,17,12.52,0,0,0,0,10.78,0,0,4.31,7.04,5.98,3.37,0,23.38,0,0,29.15,19.4,36.67,19.8,8.76,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium",3578.1,0,2519.14,27.1,4491,2252,1836.02,1122,16231.57,8900,2048.35,1013,0,0,1702.18,838.26,8588.93,11358.74,3205.3,6265,2596.81,9053,348.6,3352.46,11200.68,10092.99,1560.51,12617.73,394.47,157.43,419.24,78.01,415.8,82.26,179.77,67.74,666.92,1020.44,89.52,2344.08,3293.29,1376
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fournierella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,7.14,0,8.08,0,0,0,6.29,0,0,0,0,0,87.92,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis",62.2,4,3.63,0,26,4,44.2,25,232.93,12,18.13,67,67,104.38,15.55,61.77,30.9,137.89,261.84,126,183.96,90,37.2,470.88,62.61,105.53,318.88,368.88,519.41,246.71,1064.58,366.44,66.72,437.73,3246.86,2262.58,4383.48,167.87,45.63,552.23,149.33,468
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus",0,0,0,0,19,0,0,0,0,15,0,0,0,0,0,68.43,78,16.1,87.26,17,36.66,0,0,0,0,0,13.12,4.61,0,0,0,0,0,5.32,0,0,6.82,114.11,3.56,58.25,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,9.11,0,0,0,0,4.02,0,0,4.85,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Phocea",3.79,0,0,0,0,0,0,0,0,0,6.18,0,0,14.55,0,0,0,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus",379.6,0,0,0,244,0,0,22,0,0,1.78,0,0,0,30.34,84.73,342.26,0,829.84,70,619.09,344,187.92,11.02,0,5221.75,1249.1,1115.93,91.31,542.65,177.73,27.92,44.74,41.26,300.03,0,106.42,128.52,392.74,484.08,6.87,55
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum",1524.48,0,0,0,3766,0,15.69,362,894.68,5,0,3485,0,0,5615.85,2744.49,1127.84,1534.86,489.61,449,386.54,944,0,9713.82,0,7138.3,594.9,592.71,3528.25,3769.67,610.05,4990.28,3405.91,880.2,1541.57,2891.3,463.19,482.28,12318.74,3210.61,5629.62,2378
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1819",60.28,38,58.49,0,0,230,0,19,92.78,0,58.11,70,80,816.29,0,37.37,15.73,0,25.41,9,47.95,0,789.12,13.36,0,0,101.85,6.03,132.82,19.95,26.57,13.41,0,436.23,79.51,29.04,61.49,372.3,71.23,62.97,7.61,118
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__uncultured",66.06,0,0,0,9,0,0,0,0,5,74.01,28,0,0,0,428.7,0,55.23,59.41,155,37.88,0,0,1.35,0,73.67,0,15.65,15.59,5.98,40.82,0,14.54,41.61,26.56,38.26,99.21,138.54,25.64,62.05,24.94,34
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__UCG-010",0,0,0,0,3,0,0,0,0,0,2.47,0,0,0,0,504.28,0,0,0,0,59.57,0,0,0,0,0,0,0,3.89,3.6,144.47,0,1.73,101.06,0,8.3,115.1,136.93,1.8,251.93,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus",0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,27.15,0,0,0,0,0,0,0,2.27,0,0,169.13,0,0,0,0,0,0,0,0.31,2.68,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__uncultured",9.16,0,0,0,0,0,0,0,0,0,35.46,0,0,0,0,14.91,0,0,0,0,17.67,0,0,0,0,0,0,0,2.03,0,29.14,0,15.76,0,0,0,9.86,38.4,0,26.84,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;__",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_brachy_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.04,0,8.94,0,0,15.03,0,0,36.39,0,21.82,29.07,13.19,16.25,4.86,3.68,13.74,42.04,32.63,0,65,4.49,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_nodatum_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,4.2,0,189.95,0,0,2.23,0,2.93,0,0,5.93,0,0,1.2,0,0,0.66,0,7.23,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_AD3011_group",0,0,0,0,0,0,0,0,13.17,0,16.51,154,0,0,0,57.5,0,12.45,0,0,14.82,0,0,22.7,0,0,11.05,0,117.74,36.37,107.27,35.21,32.22,225.55,41.44,559.81,90.2,40.64,36.11,56.66,6.31,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_UCG-001",0,0,0,0,0,0,0,0,0,0,21.49,0,0,0,0,12.53,22.71,56.05,0,0,4.93,0,0,0,0,0,0,20.03,0,0,12.56,0,0,8.44,0,59.27,22.93,16.61,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Mogibacterium",0,0,0,9.7,0,0,0,0,0,0,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,7,0,0,1.26,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__S5-A14a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;__",0,0,3.64,0,0,0,2.98,0,0,0,0,3,4,3.86,0,0,2.67,0,0,0,0,0,0,0,0,0,7.64,3.67,2.56,2.94,0,1.44,0,1.37,3.3,4,0,0,6.19,1.34,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Clostridioides",0,184,0,0,0,20,0,0,0,0,0,0,908,1664.32,0,16.88,0,0,0,0,0,0,0,0,10.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter",257.33,0,2451.57,28.15,103,135,0,721,10.34,0,13.69,199,244,14.47,64.18,15.79,118.76,7.7,11.28,0,474.67,129,181.39,302.18,30.77,226.33,305.81,70.3,906.5,895.48,20.04,280.29,688.33,1894.49,55.66,679.51,724.48,18.82,832.18,84.18,130.03,90
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Paeniclostridium",0,0,0,2615.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Paraclostridium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
