"","012618.SM1","012618.SM100","012618.SM101","012618.SM102","012618.SM104","012618.SM105","012618.SM106","012618.SM107","012618.SM110","012618.SM24","012618.SM33","012618.SM92","012618.SM97","012618.SM99","060619.SM66","060619.SM89","060619.SM92","060619.SM95","090918.SM113","090918.SM12","090918.SM44","090918.SM59","3.1","4.8.08","6.14","PT.11","PT.12","PT.16","PT.23","PT.28","PT.36","PT.40","PT.52","PT.55","PT.56","PT.57","PT.58","PT.6","PT.68","PT.7","PT.8","PT.9"
"d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.88,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,0,2.09,0,0,0.03,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea",4.97,30.18,0,0,0,0,1.48,0,0,6.33,3.78,3.38,0,198.97,0,62.9,1.51,0,0,0,0,0,953.36,3.26,0,63.98,3.35,0,0,0,0,3.22,20.45,2.06,7.12,23.03,0.26,1.05,29.64,0,16.03,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella",0,0,0,0,0,0,0,739.37,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,0,0,0,0,0,0,0,0,0,0,0,13.13,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania",10.65,0,8.71,0,7.61,0,0,0,0,4.08,6.37,6.11,0,0,0,1.75,3.73,3.78,7.59,3.66,2.59,0,0,4.47,0,23.33,2.88,0,1.24,1.54,2.96,0,1.29,0,0,3.56,1.08,3.94,3.84,5.03,4.14,4.05
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Merdibacter",0,0,0,0,2.57,0,0,0,0,0,0,4.32,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0,0,0,0.53,0,5.48,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium",0,0,0,0.86,1.78,0,0,0,0,0,0,5.77,0.62,0,1.79,0.42,0,0,0,0,0,0,0,1.25,0,0,0,0,0.79,0.78,0,2.75,0,0.43,1.13,0,0.41,0.43,0,0,0.33,0.79
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter",0,0,17.06,47.46,23.5,0,12.92,446.07,0,0,3.65,1.08,2.8,0,105.34,1.13,4.06,18.11,3.62,12.54,22.25,0,0,1.91,1.91,0.83,21.14,0.56,69.26,472.96,102.21,55.56,410.29,330.13,88.58,370.31,25.16,0,50.59,2.9,51.4,2.06
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmatales;g__Izemoplasmatales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.48,0,0,0,0,18.36,0,0,0,0,0,0,0,0,0,0.91,0,0,1.31,0,0,0.3,0.45,0,4.43,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,4.06,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;__",0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella",0,31.94,0,517.03,0,0,0,4.87,0,0,0,4.03,0,0,3.44,0,0,0,0,0,0,0,0,5.26,0,1.01,0,0,0,0,0,1.71,3.63,0.72,0.6,0,0,0,1.1,0,2.17,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus",0,0,8.21,18.4,0,0,0,19.56,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus",0,0,4.94,1.85,3.79,0,25.16,2.91,0,0,0,0,4.6,12.33,0.38,0,2.6,0,0,0,0,0,0,0.62,5.17,0,0,0.56,0,54.37,0,55.34,1.9,0,2.54,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,36.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,2.07,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella",0,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus",0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,1.09,0,0,0,0,0,0,0,8.44,0,0,0,6.02,0,0,0,0,128.05,2.52,1.11,2.82,0,0.53,1.27,0,0,0.39,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus",11.77,3747.46,72.8,1069.35,287.01,1.12,29.73,291.75,307.09,20.63,2,434.37,134.17,1.74,140.82,3.07,52.12,79.75,45.29,40.75,27.24,64.36,8.17,149.37,13.84,42.49,20.16,38.58,78.87,18.91,3.65,34.4,80.01,39.96,2165.16,4.58,126.51,9.38,75.08,17.2,18.96,16.77
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Ureaplasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39",0,0,0,0,0,0,0,0,0,0,5.07,0,0,0,0,273.93,0,0,0,0,0,0,0,0,0,0,0,0,0,72.27,986.73,0,0.52,563.06,0,0,42.13,280.9,43.64,4.69,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella",0.52,13.71,1.34,11.16,0,0,4.69,22.36,0,2.39,0,4.7,1.12,0,1.32,0,0,0,0,4.74,0,0,0,7.28,0.56,0.82,0,0,0,0.78,0,2.89,2.03,0.43,1.95,0,0,1.24,0,0,3.42,1.1
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus",0,0,0,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0,2.31,2.58,0,0.72,0,0,0.84,0,0,1.53,0,0.49,0,0,0,0.2,0.6,0
"d__Bacteria;p__Firmicutes;c__Clostridia;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0.3,0,0,0.73,0.59,0,2,0,1.54,0,0,0.28,0.59,0,0.62,3.5,1.32,0.97,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Caldicoprobacterales;f__Caldicoprobacteraceae;g__Caldicoprobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,2.06,0,0,0.69,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,3.21,3.13,1.07,0.53,0,0.47,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group",3.18,0,0,0,288.5,0,0,87.83,0,0,3.18,4.95,0,2.17,0,341.61,2.27,8.86,1.29,32.31,265.22,7.33,0,77.55,0,0,10.81,18.28,50.86,151.42,629.76,10.5,7.65,161.65,73.6,473.95,336.98,396.52,30.21,44.47,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__uncultured",0,2.19,0,0,2.14,0,0,0,0,0,3.86,0,0,0,0,2.54,0,2.3,0,0,3.95,0,0,0,0,0,0,0.61,0,0,2.6,0,0,1.45,1.97,23.32,2.53,5.06,0,27.18,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Fastidiosipila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Ruminiclostridium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47,16.63,0,1.25,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014",0,0,0,0,0,0,0,0,0,0,1.84,0,0,0,0.32,1375.29,0.64,0,50.51,0,122.47,0,0,0,0,0,0,0,0,2.02,1561.87,6.05,10.58,363.85,0,11.04,19.54,83.82,6.29,12.39,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group",0,0,0,0,0,0,0,0,0,0,11.01,0,0,0,0,719.05,0,4.15,0,0,5.69,0,0,0,0,0,0,0,1.18,0,5.25,0,0,0,0.62,2.38,11.06,48.14,0.9,14.14,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;__",0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1",4.62,11.64,8.92,1124.77,101.99,2.02,13.29,83.77,0,0,0,12.56,118.95,2.04,105.93,92.12,119.9,11.06,11.8,0,40.15,2.65,0,25.59,196.37,3.52,2.67,35.8,146.9,260.48,156.65,83.68,153.7,1324.7,491.28,120.9,1185.7,20.68,54.82,24.33,36.32,3.68
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_2",0,0,0,0,0,0,0,0,0,0,0,8.29,104.54,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.93,0,0,0,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae;g__Anaerofustis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0.19,0,0,0.51,0,0.69,0.46,0.61,1.79,0.68,0,0,5.7,0.24,0,0.69,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,22.33,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitaleaceae_UCG-011",0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,2.58,0,0,1.61,0,0,2.36,0,0,1.91,3.47,0,0.66,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__",64.13,80.38,99.17,0,404.07,0,161.36,1.58,31.04,574.72,67.85,20.25,248.77,61,53.76,21,236.08,390.04,193.82,46.19,135.77,84.45,64.16,134.27,896.06,83.09,42.68,195.81,24.82,25.27,54.54,15.69,32.77,6.38,35.29,19.44,8.61,32.2,150.07,127.56,709.66,58.22
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group",186.18,0,0,0,65.38,0,0,88.79,0,50.65,4,0,90.24,0,1.49,6.46,7.59,179.91,0,242.22,21.79,349.48,108.2,0.58,0,226.85,0,0,0,1.19,0.62,0,0,1.5,0,0,16.46,22.27,0,78,3.72,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_fissicatena_group",0,0,0,0,0,0,0,0,11.16,0,0,0,0,0.86,0,0,0,0,0,0,0,0,1.95,0,0,0.85,0,0,0,0,0,0,0,6.08,0,10.7,2.25,0.54,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group",35.6,0,153.57,0,64.36,0,6.22,57.51,1.34,4.06,11.53,34.45,0,15.69,0,10.5,22.69,7.43,50.24,12.94,28.59,61.48,0,305.01,114.87,77.41,184.38,103.96,497.95,142.38,203.32,977.29,212.73,124.76,350.86,146.78,274.78,20.14,3.73,16.57,0,37.28
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_oxidoreducens_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.18,0,0.62
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ruminantium_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,0,0,0,5,0,0,49.22,0,13.2,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group",2.72,0,0,0,11.45,0,0,3.62,0,0,12,0,0,0,0,5.97,24.98,15.21,74.38,23.49,9.84,34.14,0,15.17,0,89.71,6.58,33.53,5.49,1.18,12.79,0,6.69,3.44,5.28,0,1.49,8.48,2.08,0.64,120.91,61.08
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_xylanophilum_group",0,0,0,0,17.57,0,0,0,0,0,2.49,0,5.58,0,0,0,0,114.15,0,0,16.51,42.12,0,0,0,50.58,0,0,0,0.68,0,0,3.93,1.45,0,2.1,0.41,16.99,2.63,3.49,1.25,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gauvreauii_group",0,0,0,0,10.33,0,0,21.43,0,0,2.13,12.16,0,0,0,0,5.16,0,0,62.9,6.29,35.9,26.23,122.25,0,0,0,70.5,135.63,29.86,14.21,36.11,402.6,9.93,192.69,166.52,72.46,13.98,3.58,13.81,167.67,41.28
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group",15.28,1065.36,247.14,0,0,13.71,342.6,13.75,101.49,17.46,14.07,832.15,20.37,317.97,37.46,5.62,1.41,0,15.11,22.19,0,0,26.77,14.8,18.03,58.51,4.54,1.17,0,1.34,0,6.33,34.88,29.24,84.72,0,0.42,0,0,0.24,49.27,2.9
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group",61.82,0,18.09,0,30.84,0,107.6,6.59,152.2,0,51.18,24.95,15.8,82.04,59.03,14.13,69.89,6.26,118.84,7.02,39.74,57.78,79.6,12.54,673.91,50.1,22.29,67.7,215.13,21.17,186.56,194.87,397.05,17.62,172.74,102.71,97.28,63.81,65.57,47.69,131.36,35.06
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter",982.99,0,757.74,5.64,630.93,0,39.62,932.38,0,1149.44,66.02,0,0,2.26,0,0,1664.8,206.15,23.79,1162.8,131.4,983.35,500.16,879.4,0,1295.53,726,978.01,72.8,218.81,195.21,156.06,484.47,131.37,716.04,18.4,239.07,146.53,340.8,237.92,2012.34,1422.38
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosporobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostignum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes",6.77,0,183.14,0,44.63,0,59.92,133.32,17.38,34.14,18.64,13.7,28.76,16.2,40.43,7.94,37.36,35.01,24.28,44.1,16.5,184.99,44.51,104.3,204.69,10.27,109.31,24.82,129.96,129.17,247.3,210.56,116.68,78.24,369.09,121.72,184.93,11.55,69.28,32.82,130.16,75.17
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia",203.94,1863.37,816.36,0,168.75,7.52,134.63,755.87,134.01,90.06,52.99,27.29,58.37,100.68,1172.19,55.58,70.71,110.33,215.35,197.97,105.98,259.07,288.98,1728.96,1215.87,453.03,483.55,949.89,1318.29,715.92,434.79,1747.16,1673.74,267.18,1264.01,1062.45,623.79,107.88,2693.57,166.21,534.17,273.38
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.03,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56",0,0,0,0,33.98,0,0,9.53,0,0,0,17.5,0,0,0,0,0,8.6,0,0,2.81,13.53,0,0,0,0,0,29.41,0,8.9,0,54.81,2.87,0,60.07,0,0.69,0,0,2.51,0,34.58
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catenibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,3.14,0,1.92,0,3.92,0,0.87,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Cellulosilyticum",0,0,0,0,0,0,0,0,0,0,0,0,7.44,0,0,28.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CHKCI001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus",4.43,0,0,0,57.74,0,97.45,78.54,0,0,8.2,34.89,4.7,0,0,43.22,17.54,37.28,6.4,28.51,3.68,49.01,0,5.6,0,0,0,38.72,50.22,46.8,78.05,64.72,244.9,163.79,21.1,0,39.22,23.72,68.64,21.52,71.95,22.29
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea",9.03,0,56.72,0,0,3.54,154.66,74.62,108.89,101.54,16.75,105.24,0,0,25.5,4.4,19.18,21,68.97,26.05,28.94,64.88,3.38,42.34,0,0,0,105.41,408.97,227.89,53.29,458.45,810.33,102.73,619.36,105.27,47.66,24.13,58.76,19.75,139.17,39.88
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella",2.48,0,0,0,0,0,0,0,0,0,1.48,60.13,0,0,3.69,0,0,0,0,0,1.22,0,0,2.38,0,31.89,4.09,0,0,0,0,0,0,2.88,0,0,10.19,17.56,1.22,6.05,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Epulopiscium",0,0,0,376.84,0,0,0,0,0,0,0,0,41.81,0,0,39.35,0,0,0,0,0,0,0,0,0.36,0.12,0,0,0,0,0,0,1.53,1.11,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Frisingicoccus",0,0,0,0,0,0,0,0,0,0,0,0,84.38,0,1.74,0,0,0,0,0,5.31,0,0,0,0,0,3.9,2,0,0,0,0.77,0,0,5.59,16.3,0.46,0,1.2,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter",62.88,0,158.07,0,35.84,0,10.04,29.13,92.12,54.32,26.37,2.62,0,0,2.6,12.8,45.12,64.92,66.25,0,78.84,111.03,0,66.62,1017.22,166.56,78.93,138.47,39.75,71.54,54.84,221.67,189.71,4.76,301.44,0,7.17,32.94,155.37,145.48,425.64,104.47
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575",0,0,0,0,0,0,0,0,0,0,3.01,0,0,0,0,0,0.74,18.49,3.06,0,4.31,0,37.8,2.91,0,0.39,0,1.23,0,1.13,0,0,0,0,0,0,0.42,5.82,1.56,1.86,0,2.43
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066755",0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Herbinix",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Howardella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella",13.18,67.22,18.69,0,0,38.34,0,0,2.59,0,0,85.8,116.26,0,9.36,0,0,0,0,0,0,0,88.34,0,2.05,5.44,3.57,0,0,0,5.94,0,0,14.99,0,0,1.61,1.76,4.49,62.57,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium",56.61,156.11,220.12,0,0,84.96,38.92,12.55,19.79,45.18,23.02,716.34,352.17,649.29,44.73,5.36,22.39,44.24,45.71,45.64,8.44,17.48,330.74,63.08,22.54,64.61,35.76,23.49,13.24,3.82,26.79,1.86,0,14.39,0.88,115.8,16.26,60.18,153.63,21.85,205.5,9.91
