#OTU ID	SM030818-1	SM030818-24	SM030818-33	SM030818-62	SM030818-66	SM030818-91	SM030818-92	SM030818-93	SM030818-94	SM030818-95	SM030818-96	SM030818-97	SM030818-98	SM030818-99	SM030818-100	SM030818-101	SM030818-102	SM030818-103	SM030818-104	SM030818-105	SM030818-106	SM030818-107	SM030818-108	SM030818-109	SM030818-110	SM030818-111	SM030818-121	SM030818-126	SM030818-128	SM030818-130	SM030818-131	SM030818-132	SM030818-133	SM030818-134	SM030818-135	SM030818-136	SM030818-138	SM030818-139	SM030818-140	SM030818-141	SM030818-142	SM030818-143	SM030818-144	SM030818-145	SM030818-146	SM030818-147	SM030818-148	SM111418-7	SM111418-12	SM111418-44	SM111418-52	SM111418-59	SM111418-94	SM111418-113	SM071219-60	SM071219-66	SM071219-71	SM071219-89	SM071219-92	SM071219-95
712538	0	0	0	0	0	0	2.82E-06	0	0	0	3.43E-05	0	0	0	0.000130686	0	0.000106074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.03E-05	0	0	0	0	0	0	0	0	0	0.000178656	0	1.09E-05	0	0
712633	0	0	3.27E-06	0	0	0	1.53E-05	0	0	0	0.00025231	3.81E-05	0	0	0.00092305	4.96E-06	1.48E-05	0	0	0	2.92E-18	3.35E-05	0.000280522	0	3.78E-05	0	0	0	1.17E-35	0	6.77E-06	0	1.42E-05	9.05E-06	0	0	1.62E-05	4.89E-06	0	2.24E-05	3.70E-05	0	1.14E-05	0	2.34E-25	0	1.09E-05	0	4.72E-05	4.80E-06	0	0	9.64E-05	1.24E-05	0	0.000459009	0	0	1.04E-295	0
712710	1.35E-05	0	2.26E-06	0	0	0	0	0	0	8.70E-16	0	0	0	0	0	3.61E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.46E-06	0	0	0	0	0	0	7.86E-06	0	0	2.12E-71	0	0	0	0	0	4.03E-251	0	0	0	0	4.57E-06
712898	2.72E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51E-42	0	0	0	0	0	0	0
712938	1.40E-98	0	0	0.000293771	0	0	0	0	0	0	0	1.44E-33	0	0	0	0	0	0	0	0	0	3.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	4.92E-34	1.46E-05	0	7.06E-61	0	0	0	1.45E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
713030	1.78E-31	0	0	0	0	0	0	0	0	0	1.24E-17	0	0	0	1.08E-41	0	9.50E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08E-137	0	0	0	2.59E-05	0	0	1.28E-13	0	0	0	0
714313	5.28E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000233113	0	0	0	0	1.70E-05	0	0	0	3.74E-06	0	0	0	0	0	0	0	0	0	0
714962	0	8.204909679e-314	0	0	0	0	5.05E-06	0	5.37E-05	0	0	2.81E-143	8.24E-158	0	0	2.12E-06	0	0	0	0	0	2.22E-05	1.32E-49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27E-06	0	0	0	0	0
716540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.13E-93	0	0	0	0	0	0	0
716541	0	0	0	2.52E-28	0	0	0	0.003327214	0	0	0	0	0	0	0	6.98E-74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000220703	0	0	0	0	0	0	0
